"_id","_labels","abbreviation","availability","capability","characteristic","comparison","description","division","examples","focus","function","id","interpretation","mentalStates","number","open-source","publication","purportedNecessaryConditions","purpose","quantity","tomAccuracy","tomAccuracyIn-context","tomAccuracyZero-shot","year","_start","_end","_type"
"90",":Concept","","","","","","","","","","","Philosophy","","","","","","","","","","","","",,,
"91",":Concept","","","","","","","","","","","Machine Learning","","","","","","","","","","","","",,,
"92",":Concept","","","","","","","","","","","Accuracy","","","","","","","","","","","","",,,
"93",":Concept","","","","","","","","","","","Coherence","","","","","","","","","","","","",,,
"94",":Concept","","","","","","","","","","","Uniformity","","","","","","","","","","","","",,,
"95",":Concept","","","","","","","","","","","Use","","","","","","","","","","","","",,,
"96",":Entity","","","","","","","","","","","Ai Systems","","","","","","","","","","","","",,,
"97",":Entity","","","","","","","","","","","Nlp Systems","","","","","","","","","","","","",,,
"98",":Concept","","","","","","","","","","","Coke","","","","","","","","","","","","",,,
"99",":Concept","","","","","","","","","","","Colm","","","","","","","","","","","","",,,
"100",":Concept","","","","","","","","","","","Cognitive Chains","","","","","","","","45000+","","","","",,,
"101",":Concept","","","","","","","","","","","Instruction-Tuned Llms","","","","","","","","","","","","",,,
"102",":Concept","","","","","","","","","","","Base-Llms","","","","","","","","","","","","",,,
"103",":Concept","","","","","","","","","","","Gpt Family","","","","","","","","","","","","",,,
"104",":Person","","","","","","","","","","","Children Aged 7-10","","","","","","","","","","","","",,,
"105",":Concept","","","","","","","","","","","Human Social Interaction","","","","","","","","","","","","",,,
"106",":Concept","","","","","","","","","","","Human Sensory System","","","","","","","","","","","","",,,
"107",":Field","","","","","","","","","","","Psychology","","","","","","","","","","","","",,,
"108",":Field","","","","","","","","","","","Machine Learning","","","","","","","","","","","","",,,
"109",":Field","","","","","","","","","","","Robotics","","","","","","","","","","","","",,,
"110",":Model","","","","","","","","","","","Feed-Forward Deep Learning Model","","","","","","","","","","","","",,,
"111",":Technology","","","","","","","","","","","Social Robots","","","","","","","","","","","","",,,
"112",":Concept","","","","","","","","","","","Human Cognition","","","","","","","","","","","","",,,
"113",":Concept","","","","","","","","","","","Individuals","","","","","","","","","","","","",,,
"114",":Concept","","","","","","","","","","","Beliefs","","","","","","","","","","","","",,,
"115",":Concept","","","","","","","","","","","Intentions","","","","","","","","","","","","",,,
"116",":Person","","","","","","","","","","","Engineers","","","","","","","","","","","","",,,
"117",":Concept","","","","","","","","","","","Artificial Intelligence","","","","","","","","","","","","",,,
"118",":Concept","","","","","","","","","","","Model","","","","","","","","","","","","",,,
"119",":Concept","","","","","","","","","","","Traditional Tom Tests","","","","","","","","","","","","",,,
"120",":Concept","","","","","","","","","","","3-Year-Old Children","","","","","","","","","","","","",,,
"121",":Concept","","","","","","","","","","","Ai Systems","","","","","","","","","","","","",,,
"122",":Concept","","","","","","","","","","","Guilford'S Structure Of Intellect","","","","","","","","","","","","",,,
"123",":Concept","","","","","","","","","","","Cognitive Prompt Engineering","","","","","","","","","","","","",,,
"124",":Concept","","","","","","","","","","","Cognitive Operations","","","","","","","","","","","","",,,
"125",":Concept","","","","","","","","","","","Pattern Recognition","","","","","","","","","","","","",,,
"126",":Concept","","","","","","","","","","","Memory Retrieval","","","","","","","","","","","","",,,
"127",":Concept","","","","","","","","","","","Evaluation","","","","","","","","","","","","",,,
"128",":Document","","","","","","","","","","","Position Paper","","","","","","","","","","","","",,,
"129",":Concept","","","","","","","","","","","Novel Cognitive Prompting Approach","","","","","","","","","","","","",,,
"130",":Technology","","","","","","","","","","","Large Language Models","","","","","","","","","","","","2023",,,
"131",":Concept","","","","","","","","","","","Complex Reasoning","","","","","","","","","","","","",,,
"132",":Concept","","","","","","","","","","","Theory-Of-Mind Tasks","","","","","","","","","","","","",,,
"133",":Technology","","","","","","","","","","","Gpt-4","","","","","","","","","","100%","80%","",,,
"134",":Technology","","","","","","","","","","","Gpt-3.5 Variants","","","","","","","","","","","","",,,
"135",":Technology","","","","","","","","","","","Davinci-2","","","","","","","","","","","","",,,
"136",":Technology","","","","","","","","","","","Davinci-3","","","","","","","","","","","","",,,
"137",":Technology","","","","","","","","","","","Gpt-3.5-Turbo","","","","","","","","","","","","",,,
"138",":Methodology","","","","","","","","","","","Reinforcement Learning From Human Feedback","","","","","","","","","","","","",,,
"139",":Person","","","","","","","","","","","Human","","","","","","","","","87%","","","",,,
"140",":Concept","","","","","","","","","","","Mental States","","","","","","","","","","","","",,,
"141",":Concept","","","","","","","","","","","Desires","","","","","","","","","","","","",,,
"142",":Concept","","","","","","","","","","","Behavior","","","","","","","","","","","","",,,
"143",":Concept","","","","","","","","","","","Interpersonal Communication","","","","","","","","","","","","",,,
"144",":Concept","","","","","","","","","","","Team Collaboration","","","","","","","","","","","","",,,
"145",":Concept","","","","","","","","","","","Trust-Aware Robot Policy","","","","","","","","","","","","",,,
"146",":Concept","","","","","","","","","","","Multiagent Setting","","","","","","","","","","","","",,,
"147",":Entity","","","","","","","","","","","Human","","","","","","","","","","","","",,,
"148",":Entity","","","","","","","","","","","Robot","","","","","","","","","","","","",,,
"149",":Entity","","","","","","","","","","","Human Opponent","","","","","","","","","","","","",,,
"150",":Concept","","","","","","","","","","","Team Performance","","","","","","","","","","","","",,,
"151",":Concept","","","","","","","","","","","Reverse Psychology","","","","","","","","","","","","",,,
"152",":Concept","","","","","","","","","","","Trust Maintenance","","","","","","","","","","","","",,,
"153",":Concept","","","","","","","","","","","Trust","","","","","","","","","","","","",,,
"154",":Concept","","","","","","","","","","","Deceptive Behavior","","","","","","","","","","","","",,,
"155",":Concept","","","","","","","","","","","Robot Theory Of Mind Model","","","","","","","","","","","","",,,
"156",":Concept","","","","","","","","","","","Trust Beliefs","","","","","","","","","","","","",,,
"157",":Concept","","","","","","","","","","","True Belief","","","","","","","","","","","","",,,
"158",":Concept","","","","","","","","","","","False Belief","","","","","","","","","","","","",,,
"159",":Concept","","","","","","","","","","","Dynamic Trust-Aware Reward Function","","","","","","","","","","","","",,,
"160",":Concept","","","","","","","","","","","Robot Policy Learning","","","","","","","","","","","","",,,
"161",":Concept","","","","","","","","","","","Human-Robot Trust","","","","","","","","","","","","",,,
"162",":Concept","","","","","","","","","","","Multiagent Interaction Settings","","","","","","","","","","","","",,,
"163",":Concept","","","","","","","","","","","Robot Tom-Based Robot Policy","","","","","","","","","","","","",,,
"164",":Concept","","","","","","A Theory of Mind (ToM) neural network for predicting beliefs and their dynamics during human social interactions from multimodal input.","","","","","Mtomnet","","","","","","","","","","","","",,,
"165",":Concept","","","","","","Key for effective nonverbal human communication and collaboration.","","","","","Tom","","","","","","","","","","","","",,,
"166",":Concept","","","","","","Separate network for each person encoding contextual and person-specific cues.","","","","","Mindnet","","","","","","","","","","","","",,,
"167",":Concept","","","","","","Prior research inspiration for MToMnet.","","","","","Social Cognition","","","","","","","","","","","","",,,
"168",":Concept","","","","","","Prior research inspiration for MToMnet.","","","","","Computational Tom","","","","","","","","","","","","",,,
"169",":Dataset","","","","","","","","","Belief prediction.","","Belief Prediction Dataset","","","","","","","","","","","","",,,
"170",":Dataset","","","","","","","","","Belief dynamics prediction.","","Belief Dynamics Prediction Dataset","","","","","","","","","","","","",,,
"171",":Concept","","","","","","a plug-and-play approach to reason about the belief states of multiple characters in reading comprehension tasks via explicit symbolic representation","","","","","Symbolictom","","","","","","","","","","","","",,,
"172",":Concept","","","","","","","","","","","Tomi Benchmark","","","","","Le et al., 2019","","","","","","","",,,
"173",":Concept","","","","","","","","","","","Science","","","","","","","","","","","","",,,
"174",":Concept","","","","","","","","","","","Religion","","","","","","","","","","","","",,,
"175",":Concept","","","","","","","","","","","Everyday Life","","","","","","","","","","","","",,,
"176",":Concept","","","","","","","","","","","Causal Cognition","","","","","","","","","","","","",,,
"177",":Concept","","","","","","","","","","","Human Mind","","","","","","","","","","","","",,,
"178",":Concept","","","","","","","","","","","Artificial Mind","","","","","","","","","","","","",,,
"179",":Concept","","","","","","","","","","","Artificial Agents","","","","","","","","","","","","",,,
"180",":Concept","","","","","","","","","","","Malicious Artificial Agents","","","","","","","","","","","","",,,
"181",":Concept","","","","","","","","","","","Benevolent Artificial Agents","","","","","","","","","","","","",,,
"182",":Concept","","","","","","","","","","","Cognitive Biases","","","","","","","","","","","","",,,
"183",":Concept","","","","","","","","","","","Causal Models","","","","","","","","","","","","",,,
"184",":Concept","","","","","","","","","","","Causes","","","","","","","","","","","","",,,
"185",":Concept","","","","","","","","","","","Biased","","","","","","","","","","","","",,,
"186",":Concept","","","","","","","","","","","Subjectivity","","","","","","","","","","","","",,,
"187",":Concept","","","","","","","","","","","Objective","","","","","","","","","","","","",,,
"188",":Concept","","","","","","","","","","","Artificial Causal Beliefs","","","","","","","","","","","","",,,
"189",":Concept","","","","","","","","","","","Cognitive Distortions","","","","","","","","","","","","",,,
"190",":Concept","","","","","","","","","","","Vulnerability","","","","","","","","","","","","",,,
"191",":Concept","","","","","","","","","","","Self-Deception","","","","","","","","","","","","",,,
"192",":Concept","","","","","","","","","","","Ai","","","","","","","","","","","","",,,
"193",":Concept","","","","","","","","","","","Bdiqa","","","","","","","","","","","","",,,
"194",":Concept","","","","","","","","","","","Videoqa","","","","","","","","","","","","",,,
"195",":Concept","","","","","","","","","","","Belief, Desire And Intention Reasoning","","","","","","","","","","","","",,,
"196",":Concept","","","","","","","","","","","Cognitive Reasoning Tasks","","","","","","","","","","","","",,,
"197",":Concept","","","","","","","","","","","Pre-Trained Models","","","","","","","","","","","","",,,
"198",":Concept","","","","","","","","","","","Conscious Mind","","","","","","","","","","","","",,,
"199",":Concept","","","","","","","","","","","Dorsal Medial Prefrontal Cortex Neurons","","","","","","","","","","","","",,,
"200",":Concept","","","","","","","","","","","Hidden Embeddings","","","","","","","","","","","","",,,
"201",":Concept","","","","","","","","","","","Artificial Neurons","","","","","","","","","","","","",,,
"202",":Concept","","","","","","","","","","","Tom Tasks","","","","","","","","","","","","",,,
"203",":Concept","","","","","","","","","","","Model Size","","","","","","","","","","","","",,,
"204",":Concept","","","","","","","","","","","Population Level","","","","","","","","","","","","",,,
"205",":Concept","","","","","","","","","","","Human Brain","","","","","","","","","","","","",,,
"206",":Concept","","","","","","","","","","","Human Tom Capabilities","","","","","","","","","","","","",,,
"207",":Concept","","","","","","","","","","","Embeddings","","","","","","","","","","","","",,,
"208",":Concept","","","","","","","","","","","Cognitive Architectures","","","","","","","","","","","","",,,
"209",":Concept","","","","","","","","","","","Modular Approach","","","","","","","","","","","","",,,
"210",":Concept","","","","","","","","","","","Agency Approach","","","","","","","","","","","","",,,
"211",":Concept","","","","","","","","","","","Neuro-Symbolic Approach","","","","","","","","","","","","",,,
"212",":Concept","","","","","","","","","","","Chain-Of-Thought Prompting","","","","","","","","","","","","",,,
"213",":Concept","","","","","","","","","","","Augmented Llms","","","","","","","","","","","","",,,
"214",":Concept","","","","","","","","","","","Common Model Of Cognition","","","","","","","","","","","","",,,
"215",":Concept","","","","","","","","","","","Simulation Theory Of Cognition","","","","","","","","","","","","",,,
"216",":Concept","","","","","","","","","","","Society Of Mind Theory","","","","","","","","","","","","",,,
"217",":Concept","","","","","","","","","","","Lida Cognitive Architecture","","","","","","","","","","","","",,,
"218",":Concept","","","","","","","","","","","Clarion Cognitive Architecture","","","","","","","","","","","","",,,
"219",":Concept","","","","","","","","","","","Humans","","","","","","","","","","","","",,,
"220",":Concept","","","","","","","","","","","Nonverbal Communication Signals","","","","","","","","","","","","",,,
"221",":Concept","","","","","","","","","","","Social Interactions","","","","","","","","","","","","",,,
"222",":Concept","","","","","","","","","","","Social Cognitive Ability","","","","","","","","","","","","",,,
"223",":Concept","","","","","","","","","","","Human-Robot Interaction","","","","","","","","","","","","",,,
"224",":Concept","","","","","","","","","","","Theory Of Mind (Tom)","","","","","","","","","","","","",,,
"225",":Concept","","","","","","","","","","","Object-Context Relations","","","","","","","","","","","","",,,
"226",":Concept","","","","","","","","","","","Autonomous Systems","","","","","","","","","","","","",,,
"227",":Concept","","","","","","","","","","","Verbal Communication","","","","","","","","","","","","",,,
"228",":Concept","","","","","","","","","","","Multimodal Video Dataset","","","","","","","","","","","","",,,
"229",":Concept","","","","","","","","","","","Artificial Intelligence (Ai) Systems","","","","","","","","","","","","",,,
"230",":Concept","","","","","","","","","","","Human Belief States","","","","","","","","","","","","",,,
"231",":Concept","","","","","","","","","","","Object-Context Scenario","","","","","","","","","","","","",,,
"232",":Concept","","","","","","","","","","","Deep Learning Models","","","","","","","","","","","","",,,
"233",":Concept","","","","","","","","","","","Input Modalities","","","","","","","","","","","","",,,
"234",":Concept","","","","","","","","","","","Baseline Models","","","","","","","","","","","","",,,
"235",":Concept","","","","","","","","","","","Hi-Tom","","","","","","","","","","","","",,,
"236",":Concept","","","","","","","","","","","Nlp","","","","","","","","","","","","",,,
"237",":Concept","","","","","","","","","","","Intelligence","","","","","","","","","","","","",,,
"238",":Concept","","","","","","","","","","","Language Understanding","","","","","","","","","","","","",,,
"239",":Concept","","","","","","","","","","","Cognitive Processes","","","","","","","","","","","","",,,
"240",":Concept","","","","","","","","","","","Higher-Order Theory Of Mind Tasks","","","","","","","","","","","","",,,
"241",":Concept","","","","","","","","","","","Failure Cases","","","","","","","","","","","","",,,
"242",":Concept","","","","","","","","","","","Findings","","","","","","","","","","","","",,,
"243",":Concept","","","","","","","","","","","Social Reasoning","","","","","","","","","","","","",,,
"244",":Concept","","","","","","","","","","","Machine Learning Approaches To Tom","","","","","","","","","","","","",,,
"245",":Agent","","","","","","","","","","","Observer","","","","","","","","","","","","",,,
"246",":Model","","","","","","","","","","","Tommy","","","","","","","","","","","","",,,
"247",":Concept","","","","","","","","","","","Neural Memory Mechanisms","","","","","","","","","","","","",,,
"248",":Concept","","","","","","","","","","","Hierarchical Attention","","","","","","","","","","","","",,,
"249",":Experiment","","","","","","","","","","","New Suite Of Experiments","","","","","","","","","","","","",,,
"250",":Method","","","","","","","","","","","Virtual World Cognitive Science","","","","","","","","","","","","",,,
"251",":Concept","","","","","","","","","","","Philosophical Motivations","","","","","","","","","","","","",,,
"252",":Concept","","","","","","","","","","","Virtual Embodied Agents","","","","","","","","","","","","",,,
"253",":Concept","","","","","","","","","","","Virtual Worlds","","","","","","","","","","","","",,,
"254",":Field","","","","","","","","","","","Cognitive Science","","","","","","","","","","","","",,,
"255",":Concept","","","","","","","","","","","Mental Representation","","","","","","","","","","","","",,,
"256",":Concept","","","","","","","","","","","Linguistic Representation","","","","","","","","","","","","",,,
"257",":Concept","","","","","","","","","","","Computational Modeling","","","","","","","","","","","","",,,
"258",":Concept","","","","","","","","","","","Philosophical Thought Experiments","","","","","","","","","","","","",,,
"259",":Concept","","","","","","","","","","","Terminology","","","","","","","","","","","","",,,
"260",":Concept","","","","","","","","","","","Dynamical Relationships","","","","","","","","","","","","",,,
"261",":Concept","","","","","","","","","","","Entities In Minds","","","","","","","","","","","","",,,
"262",":Concept","","","","","","","","","","","Entities In An Environment","","","","","","","","","","","","",,,
"263",":Concept","","","","","","","","","","","Belief Tokens","","","","","","","","","","","","",,,
"264",":Concept","","","","","","","","","","","Concept Tokens","","","","","","","","","","","","",,,
"265",":Concept","","","","","","","","","","","Individual Cognizers' Minds","","","","","","","","","","","","",,,
"266",":Concept","","","","","","","","","","","Large Pre-Trained Model","","","","","","","","","","","","",,,
"267",":Concept","","","","","","","","","","","Task-Specific Hints","","","","","","","","","","","","",,,
"268",":Concept","","","","","","","","","","","Prompts","","","","","","","","","","","","",,,
"269",":Concept","","","","","","","","","","","Natural Language Processing","","","","","","","","","","","","",,,
"270",":Concept","","","","","","","","","","","Vision-Language Modeling","","","","","","","","","","","","",,,
"271",":Concept","","","","","","","","","","","Multimodal-To-Text Generation Models","","","","","","","","","","","","",,,
"272",":Concept","","","","","","","","","","","Image-Text Matching Models","","","","","","","","","","","","",,,
"273",":Concept","","","","","","","","","","","Text-To-Image Generation Models","","","","","","","","","","","","",,,
"274",":Concept","","","","","","","","","","","Flamingo","","","","","","","","","","","","",,,
"275",":Concept","","","","","","","","","","","Clip","","","","","","","","","","","","",,,
"276",":Concept","","","","","","","","","","","Stable Diffusion","","","","","","","","","","","","",,,
"277",":Concept","","","","","","","","","","","Designing Effective Prompts","","","","","","","","","","","","",,,
"278",":Concept","","","","","","","","","","","Automated Prompt Engineering","","","","","","","","","","","","",,,
"279",":Concept","","","","","","","","","","","Optimal Learning Framework","","","","","","","","","","","","",,,
"280",":Concept","","","","","","","","","","","Feature-Based Method","","","","","","","","","","","","",,,
"281",":Concept","","","","","","","","","","","Bayesian Regression","","","","","","","","","","","","",,,
"282",":Concept","","","","","","","","","","","Knowledge-Gradient (Kg) Policy","","","","","","","","","","","","",,,
"283",":Concept","","","","","","","","","","","Mixed-Integer Second-Order Cone Optimization Problems","","","","","","","","","","","","",,,
"284",":Concept","","","","","","","","","","","Instruction Induction Tasks","","","","","","","","","","","","",,,
"285",":Concept","","","","","","","","","","","Prompt Evaluation","","","","","","","","","","","","",,,
"286",":Concept","","","","","","","","","","","Whole Hog Thesis","","","","","","","","","","","","",,,
"287",":Concept","","","","","","","","","","","Understanding","","","","","","","","","","","","",,,
"288",":Concept","","","","","","","","","","","Knowledge","","","","","","","","","","","","",,,
"289",":Concept","","","","","","","","","","","Holistic Network Assumptions","","","","","","","","","","","","",,,
"290",":Concept","","","","","","","","answering questions, making suggestions","","","Llm Behavior","","","","","","","","","","","","",,,
"291",":Concept","","","","","","","","hallucinations, planning/reasoning errors","","","Llm Failures","","","","","","","","","","","","",,,
"292",":Concept","","","","","","","","","","","Games Of Lacks","","","","","","","","","","","","",,,
"293",":Concept","","","","","","","","","","","Cognition","","","","","","semantic grounding, embodiment, justification, intrinsic intentionality","","","","","","",,,
"294",":Concept","","","","","","","","","","","Human Capacities","","","","","","","","","","","","",,,
"295",":Concept","","","","","","","","","","","Consciousness","","","","","","","","","","","","",,,
"296",":Concept","","","","","","","","","","","Alien Contents","","","","","","","","","","","","",,,
"297",":Concept","","","","","","","","","","","Human Conceptual Schemes","","","","","","","","","","","","",,,
"298",":Concept","","","","","","","","","","","Mental Capacities","","","","","","","","","","","","",,,
"299",":Concept","","","","","","","","","","","Action","","","","","","","","","","","","",,,
"300",":Concept","","","","","","","","","","","Agency","","","","","","","","","","","","",,,
"301",":Concept","","","","","","","","","","","Interaction With Large Language Models","","","","","","","","","","","","",,,
"302",":Concept","","","","","","","","","","","Prompt","","","","","","","","","","","","",,,
"303",":Concept","","","","","","","","","","","Natural Language Instruction","","","","","","","","","","","","",,,
"304",":Person","","","","","","","","","","","Non-Experts","","","","","","","","","","","","",,,
"305",":Task","","","","","","","","","","","Complex Tasks","","","","","","","","","","","","",,,
"306",":Concept","","","","","","","","","","","Prompt Design","","","","","","","","","","","","",,,
"307",":Concept","","","","","","","","","","","Effective Prompts","","","","","","","","","","","","",,,
"308",":Concept","","","","","","","","","","","Skill And Knowledge","","","","","","","","","","","","",,,
"309",":Concept","","","","","","","","","","","Iteration","","","","","","","","","","","","",,,
"310",":Concept","","","","","","","","","","","Model Behavior","","","","","","","","","","","","",,,
"311",":Concept","","","","","","","","","","","Particular Goal","","","","","","","","","","","","",,,
"312",":Concept","","","","","","","","","","","Prompt Editing Behavior","","","","","","","","","","","","",,,
"313",":Concept","","","","","","","","","","","Design Implications","","","","","","","","","","","","",,,
"314",":Concept","","","","","","","","","","","Future Directions","","","","","","","","","","","","",,,
"315",":Concept","","","","","","","","","","","Natural Language Prompts","","","","","","","","","","","","",,,
"316",":Method","","","","","","","","","","","Zero-Shot Prompting","","","","","","","","","","","","",,,
"317",":Method","","","","","","","","","","","Constrained Chain-Of-Tom","","","","","","","","","","","","",,,
"318",":Concept","","","","","","","","","","","Domain Knowledge","","","","","","","","","","","","",,,
"319",":Concept","","","","","","","","","","","Causal Relations","","","","","","","","","","","","",,,
"320",":Concept","","","","","","","","","","","Narratives","","","","","","","","","","","","",,,
